Firm,date,employee_title,location,review_title,pros,cons
Facebook,"Aug 31, 2020 ", Engineering Manager,"Menlo Park, CA",Neat place. Org struggles,"Well funded, lots of resources, focus on engineering.
","Organization is a challenge, senior people fighting for the the best reviews (which trigger significant payouts). Rigorous performance management process which has many flaws (politics, anecdotal discussions, selective review collection).
"
Facebook,"Aug 31, 2020 ", Software Engineer,"Menlo Park, CA",Feel lucky to join FB,"- Lovely people must be the first pros.
- Bootcamp is a really good buffer for new grad.
- Flexible team selection
- Big tolerant with making mistakes
","I don't feel any cons so far
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 31, 2020 ", Senior Data Analyst,"Menlo Park, CA","great, but could be better","great tech, smartest ppl, great food
","lack of policing political bigotry
"
Facebook,"Aug 31, 2020 ", Critical Facility Engineer,"Huntsville, AL",Facebook is a great place to work.,"you can be yourself, more diversity than my others jobs, I am supported by upper leadership.
","no cons to report at all.
"
Facebook,"Aug 30, 2020 ",Anonymous,"San Francisco, CA",Good management,"Good managers with experience in hand
Lot to learn
","Too much politics in the company
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 30, 2020 ", Software Engineer,"San Jose, CA",Nice job,"Competitive compensation and good benefits
","a little bit overtime possibly
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 28, 2020 ", Privacy Program Manager,"New York, NY",Phenomenal place to work!,"Compensation, benefits and work-life balance are great! There are plenty of opportunities to work on meaningful and impactful projects. Management has been super supportive with the transition to remote work and working from home due to COVID.
","Learning curve can be steep, particularly in the first few months.
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 28, 2020 ", Manager ,"Austin, TX",Good Place to Grow and Employee Focused,"Solid Growth Trend, Lots of great perks, Company genuinely tries to do the right thing
","Back office tools and processes need some work, Some entitlement in the workforce
"
Facebook,"Aug 28, 2020 ", Director,"New York, NY",Left but Returned,"- Best people
- Challenging / interesting work
- A culture that really cares about their people
- There are very few companies that truly let their employees build the future. While our leadership establishes vision and targets - how we get there is left to the employees. We truly believe in the ""This is your company now"". If you don't like something about FB, come and join us and change it.
","- None to think of
"
Facebook,"Aug 27, 2020 ", Product Specialist,"Seattle, WA",Ambiguity,"Lots of documentation available online
Talented coworkers
","You’re a generalist in a sea of specialists. Very hard to get buy-in for your role.
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 27, 2020 ", Software Engineer,"Los Angeles, CA",the best,"nothing bad is happening here
","the best place in the world
"
Facebook,"Aug 27, 2020 ", Software Engineer ,"Seattle, WA",Good for new grad,"Compensation, learning speed, team members
","No work life balance, frequent reorg.
"
Facebook,"Aug 26, 2020 ", Chef,"Seattle, WA",I'm so grateful!,"Work-life balance, compensation, learning tools, internal resources, continued education
","I'm not a tech guy, so I feel a little lost in some conversations
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 26, 2020 ", Software Engineering Manager,"New York, NY",A Great Place to Work,"Positive culture, outstanding people, leading edge technology, excellent opportunities for learning and advancement, great opportunities to positively impact the world
","Rapid growth makes it challenging to retain the original corporate identity that has made the place great
"
Facebook,"Aug 25, 2020 ", Group Leader,"Menlo Park, CA",Beware the microculture within Facebook,"Company aspire to be a leader of change
","Micro culture with certain departments or groups can be toxic
"
Facebook,"Aug 25, 2020 ", Instructional Designer,"Seattle, WA",Great company,"Empowering, amazing perks, great pay, smart people, employee focused.
","Ambiguous work environment, still feels like a startup, very demanding with resources not always available to you need to scrappy. If this is you, you will thrive.
"
Facebook,"Aug 25, 2020 ", Process Improvement Lead,"Austin, TX",Awesome Company,"Great environment, tons of support from management and co-workers Transparency is a big part of the culture in this company
","Coming into a new role, it's exciting to be able to ""build"" the role, but at the same time more clarity on expectations and guidance would be good. Other than that it has been a great ride so far
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 25, 2020 ", Delivery Driver,"Nanticoke, PA",Good,"Good money for delivering pizza
","management could have been more organized
"
Facebook,"Aug 24, 2020 ", Data Engineer,"San Jose, CA",Good company to work,"good company looking for innovation
","Too much pressure for work
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 24, 2020 ", Product Designer,"Menlo Park, CA",Strong Culture & Impactful Work,"Overall, Facebook has a strong mission & culture and is a great place to work. The work is focused on impactful & challenging problems, giving people the space to continue to develop their skills and learn more than before.
","Product development process at Facebook isn't well standardized or organized, leaving teams to create their own processes with mixed results.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 24, 2020 ", Product Design Manager,"San Francisco, CA",Supportive company to work for,"- Supportive transitioning in to a Management role during covid 
- Highly open and collaborative workplace
- Friendly team and great culture
","- You'll need to have the ability to prioritize to have a good work/life balance (this is supported)
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 24, 2020 ", Software Engineer,"New York, NY",Great place to work,"amazing benefits that cannot be beated
","the high competition that sometimes causes lots of stress
"
Facebook,"Aug 24, 2020 ", Engineering Manager,"New York, NY",Great place that cares about employees,"I've been working at FB for a little over 4 months. I can't believe how accommodating and helpful my entire org has been at welcoming me to the team. It's tough leaving one job for another and but the support that you get, the inclusiveness, and the overall willingness of everyone to help you onboard is honestly a great feeling. It feels like everyone wants you to succeed and that everyone buys into the idea that there's enough sunshine to go around. I've never been at a company with those values.
","Onboarding is tough. Be prepared to spend a lot of time reading and playing catch up. Expectations are high to move fast, so join prepared to hit the ground running.
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 23, 2020 ", Program Manager,"Menlo Park, CA",Great company,"The best perks and pay in the Bay Area
","People are aggressive, middle management is clueless and very political
"
Facebook,"Aug 23, 2020 ", Firmware Engineer,"Menlo Park, CA",Best place to work and learn,"You can work with tons of smart and passionate co-workers
","I don't have any complains
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 23, 2020 ", Test and Integration Engineer,"Redmond, WA",Hardware engineering,"Flexible and open culture, lots of opportunity to self-develop, good work and life balance
","poor on-boarding, not well structured project management and hardware development process
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 23, 2020 ", Senior Salesforce Administrator,"Menlo Park, CA",,"enjoyed working at fb. good team and culture
","I cant think of any cons.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 22, 2020 ", Product Manager,"Menlo Park, CA",Great place to work,"- takes care of employees
- open and honest culture
","- high-influence products increase visibility and stakes
Be the first to find this review helpful
Helpful
Share
Repor"
